org,taigigo
人間界,自然界
人間業,神業ね
値下げ,値上げ
熱,冷
ネガ,ポジ
ネガティブ,ポジティブ
根暗,根明
猫面,馬面
熱愛,憎悪
熱気,冷気
熱帯,寒帯
熱心,不熱心
熱中,退屈
熱湯,冷水
熱湯,微温湯
粘る,諦めるの
濃,淡
濃艶,清楚
納会,発会
農業,工業
農業,商業
濃厚,希薄
濃厚,淡白
濃彩,淡彩
納税,徴税
農地,宅地
納入,徴収
能動,受動
農繁期,農閑期
能動的,受動的
能文,拙文
長生き,早死に
仲直り,仲違い
長羽織,茶羽織
ナット,ボルト
夏物,冬物
夏木立,冬木立
夏山,冬山
夏日,冬日
撫で肩,怒り肩
名前,苗字
怠け者,働き者
生返事,二つ返事
軟骨,硬骨
賑やか,寂しい
憎しみ,慈しみ
肉眼,心眼
肉食,菜食
肉食,草食
逃げる,追う
二元論,一元論
日舞,洋舞
日食,月食
贋物,本物
二毛作,一毛作
入院,退院
入会,脱会
入学,卒業ぬ
縫い針,待ち針
縫う,解く
抜く,刺す
抜く,はめる
脱ぐ,着る
脱ぐ,履く
脱ぐ,被る
温燗,熱燗
濡れる,乾く
眠る,覚める
寝る,起きる
寝技,立ち技
年長,年少
年始,年末
年頭,年末
能弁,訥弁
昇る,沈む
後々,前々
ノーマル,アブノーマル
後の世,先の世
後程,先程
野中,町中
野良犬,飼い犬
野良猫,飼い猫
のろのろ,てきぱき
暢気,せっかち
ノンフィクション,フィクションは
敗因,勝因
売価,原価
敗軍,勝軍
背景,前景
廃止,存続
廃止,存置
稗史,正史
排泄,摂取
背臨,臨書
入る,出る
敗走,追撃
背面,正面
敗訴,勝訴
莫迦,利口
破壊,建設
破戒,持戒
莫大,僅少ひ
東,西
美,醜
B.C.,A.D.
ヒーロー,ヒロイン
引く,足す
悲運,幸運
被害者,加害者
控え目,大袈裟
日陰,日向
日傘,雨傘
干菓子,生菓子
東風,西風
東側,西側
東日本,西日本
東半球,西半球
光,影ふ
歩合給,固定給
風車,水車
封書,葉書
風流,無風流
増える,減る
フォーマル,インフォーマル
醜男,色男
フォルティッシモ,ピアニシモ
部下,上司
深い,浅い
部外,部内
不可逆,可逆
富貴,貧困
俯角,仰角
不確実,確実ふ
ブラック企業,ホワイト企業
分析,総合
文明,未開
分裂,合同
分裂,統一
閉,開
平穏,不穏
閉音節,開音節
平滑筋,横紋筋
閉館,開館
平家,源氏
閉経,初経
閉口,開口
閉校,開校
閉講,開講ほ
豊,凶
忙,閑
防,攻
報恩,忘恩
暴飲,暴食
暴食,節食
放火,失火
邦貨,外貨
邦楽,洋楽
包含,除外
傍観,介入
防寒,防暑
放棄,行使
放棄,保持
暴君,仁君
傍系,直系
望月,朔月
薄情,厚情
博学多才,浅学非才
白眼,青眼
白梅,紅梅
白票,青票
白米,玄米
剥奪,付与
舶来,国産
働く,怠ける
発生,消滅
白血球,赤血球
発注,受注
恥じる,誇る
吐く,吸う
暴露,隠蔽
薄給,高給
派生的,根源的
外れ,当たり
発熱,解熱
派兵,撤兵
パッシブ,アクティブ
光,闇
避寒,避暑
彼岸,此岸
悲観的,楽観的
引き受ける,断る
引き算,足し算
引き潮,満ち潮
被虐,加虐
ビキナー,エキスパート
卑金属,貴金属
非金属,金属
比丘,比丘尼
低い,高い
否決,可決
微減,微増
非公開,公開
非公式,公式
非合理的,合理的
微弱,強烈
微視的,巨視的
美女,美男
美女,悪女
深さ,浅さ
深手,浅手
不可能,可能
不可分,可分
俯瞰,仰望
俯瞰,仰視
負極,正極
父系,母系
不完全,完全
不機嫌,上機嫌
不起訴,起訴
不急,火急
不器用,器用
副因,主因
福因,禍因
伏臥,仰臥
伏臥,横臥
復学,休学
復学,停学
複眼,単眼
副業,本業
副産物,主産物
袋小路,抜小路
平行,交差
併合,分割
平常,非常
平時,戦時
平然,愕然
平地,山地
平野,山地
閉店,開店
平熱,高熱
平熱,微熱
平年,閏年
閉門,開門
閉鎖,開放
別学,共学
平方根,立方根
平凡,非凡
閉幕,開幕
平民,貴族
平面,曲面
平面図,側面図
平面図,立面図
平面的,立体的
並列,直列
芳香,悪臭
亡国,興国
豊作,凶作
棒上げ,棒下げ
放出,備蓄
飽食,飢餓
邦人,外人
防戦,攻戦
放任,統制
放任,干渉
放浪,定住
補完財,代替財
僕,君
飽和脂肪酸,不飽和脂肪酸
豊富,貧弱
法名,俗名
放電,充電
冒頭,末尾
暴落,暴騰
暴落,高騰
保険者,被保険者
牡丹雪,粉雪
発言,沈黙
発車,停車
発信,受信
流行る,廃れる
バランス,アンバランス
晴れ着,普段着
破廉恥,廉恥
半,丁
繁栄,衰微
半減,倍増
反感,好意
反主流派,主流派
搬入,搬出
反磁性,常磁性
反戦論,主戦論
美女,醜女
微笑,哄笑
密か,露わ
筆禍,舌禍
筆記試験,口述試験
筆述,口述
必然,偶然
必然,蓋然
筆答,口答
必要,不要
皮肉,世辞
否定,肯定
否認,是認
微分,積分
秘密,公然
複式簿記,単式簿記
不公平,公平
